[A1] Crawl inventory: https://thongtaccongquangninh.com
[A1] URL publish audit: 87
  [1/87] https://thongtaccongquangninh.com/ ... OK schema=Place,Organization,WebSite,ImageObject,WebPage,Article,LocalBusiness,HomeAndConstructionBusiness,BreadcrumbList,FAQPage,VideoObject metaLen=157
  [2/87] https://thongtaccongquangninh.com/bang-gia-hut-be-phot-quang-ninh/ ... OK schema=LocalBusiness,HomeAndConstructionBusiness,Place,Organization,WebSite,ImageObject,BreadcrumbList,WebPage,BlogPosting,Service,FAQPage metaLen=151
  [3/87] https://thongtaccongquangninh.com/bang-gia/ ... OK schema=LocalBusiness,HomeAndConstructionBusiness,Place,Organization,WebSite,ImageObject,BreadcrumbList,WebPage,Article,OfferCatalog,FAQPage metaLen=153
  [4/87] https://thongtaccongquangninh.com/blog/ ... OK schema=LocalBusiness,HomeAndConstructionBusiness,Place,Organization,WebSite,ImageObject,BreadcrumbList,WebPage,Article,FAQPage metaLen=150
  [5/87] https://thongtaccongquangninh.com/bon-cau-rut-cham-nguyen-nhan/ ... OK schema=LocalBusiness,HomeAndConstructionBusiness,Place,Organization,WebSite,ImageObject,BreadcrumbList,WebPage,Person,BlogPosting,FAQPage metaLen=151
  [6/87] https://thongtaccongquangninh.com/cach-xu-ly-cong-thoat-nuoc-tac/ ... OK schema=LocalBusiness,HomeAndConstructionBusiness,Place,Organization,WebSite,ImageObject,BreadcrumbList,WebPage,BlogPosting,FAQPage metaLen=154
  [7/87] https://thongtaccongquangninh.com/cam-nang-thong-tac-cong-tai-ha-long/ ... OK schema=LocalBusiness,HomeAndConstructionBusiness,Place,Organization,WebSite,ImageObject,BreadcrumbList,WebPage,Person,BlogPosting,FAQPage,Service metaLen=154
  [8/87] https://thongtaccongquangninh.com/cau-hoi-thuong-gap-thong-tac-cong/ ... HTTP 502
  [9/87] https://thongtaccongquangninh.com/chi-phi-hut-be-phot-quang-ninh/ ... OK schema=LocalBusiness,HomeAndConstructionBusiness,Place,Organization,WebSite,ImageObject,BreadcrumbList,WebPage,Person,Article,FAQPage,BlogPosting,Service metaLen=153
  [10/87] https://thongtaccongquangninh.com/chinh-sach-bao-hanh/ ... OK schema=LocalBusiness,HomeAndConstructionBusiness,Place,Organization,WebSite,ImageObject,BreadcrumbList,WebPage,Article,FAQPage metaLen=152
  [11/87] https://thongtaccongquangninh.com/chinh-sach-bao-mat/ ... OK schema=LocalBusiness,HomeAndConstructionBusiness,Place,Organization,WebSite,ImageObject,BreadcrumbList,WebPage,Article,FAQPage metaLen=150
  [12/87] https://thongtaccongquangninh.com/chu-ky-hut-be-phot/ ... OK schema=LocalBusiness,HomeAndConstructionBusiness,Place,Organization,WebSite,ImageObject,BreadcrumbList,WebPage,Person,BlogPosting,FAQPage,Service metaLen=150
  [13/87] https://thongtaccongquangninh.com/dau-hieu-be-phot-bi-day/ ... OK schema=LocalBusiness,HomeAndConstructionBusiness,Place,Organization,WebSite,ImageObject,BreadcrumbList,WebPage,Person,BlogPosting,FAQPage metaLen=155
  [14/87] https://thongtaccongquangninh.com/dau-hieu-be-phot-can-hut/ ... OK schema=LocalBusiness,HomeAndConstructionBusiness,Place,Organization,WebSite,ImageObject,BreadcrumbList,WebPage,BlogPosting,FAQPage metaLen=155
  [15/87] https://thongtaccongquangninh.com/dieu-khoan-dich-vu/ ... OK schema=LocalBusiness,HomeAndConstructionBusiness,Place,Organization,WebSite,ImageObject,BreadcrumbList,WebPage,Person,Article metaLen=158
  [16/87] https://thongtaccongquangninh.com/gia-hut-be-phot-quang-ninh/ ... OK schema=LocalBusiness,HomeAndConstructionBusiness,Place,Organization,WebSite,ImageObject,BreadcrumbList,WebPage,Person,BlogPosting,FAQPage,Service metaLen=152
  [17/87] https://thongtaccongquangninh.com/gia-thong-tac-bon-cau-quang-ninh/ ... OK schema=LocalBusiness,HomeAndConstructionBusiness,Place,Organization,WebSite,ImageObject,BreadcrumbList,WebPage,Person,BlogPosting,FAQPage,Service metaLen=152
  [18/87] https://thongtaccongquangninh.com/gia-thong-tac-cong-quang-ninh/ ... OK schema=LocalBusiness,HomeAndConstructionBusiness,Place,Organization,WebSite,ImageObject,BreadcrumbList,WebPage,Person,BlogPosting,FAQPage,Service metaLen=151
  [19/87] https://thongtaccongquangninh.com/gioi-thieu/ ... OK schema=LocalBusiness,HomeAndConstructionBusiness,Place,Organization,WebSite,ImageObject,BreadcrumbList,WebPage,Article metaLen=167
